Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1979","1979","ha","8654000","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1980","1980","ha","9200080","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1981","1981","ha","9105026","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1982","1982","ha","8940017","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1983","1983","ha","9606013","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1984","1984","ha","9629710","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1985","1985","ha","9833074","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1986","1986","ha","9194021","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1987","1987","ha","9147076","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1988","1988","ha","9905932","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1989","1989","ha","9879040","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1990","1990","ha","8791885","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1991","1991","ha","9052960","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1992","1992","ha","9159680","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1993","1993","ha","9000000","F","FAO estimate"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1994","1994","ha","8975229","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1995","1995","ha","9112951","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1996","1996","ha","9267200","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1997","1997","ha","9912790","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1998","1998","ha","9511520","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1999","1999","ha","9969920","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2000","2000","ha","9891200","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2001","2001","ha","10125424","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2002","2002","ha","9653534","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2003","2003","ha","10163878","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2004","2004","ha","9992868","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2005","2005","ha","10224967","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2006","2006","ha","10165155","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2007","2007","ha","10668905","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2008","2008","ha","10683549","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2009","2009","ha","11141447","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2010","2010","ha","11932320","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2011","2011","ha","11956638","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2012","2012","ha","11956781","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2013","2013","ha","11684315","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2014","2014","ha","10664923","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2015","2015","ha","9717975","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2016","2016","ha","9340007","Im","FAO data based on imputation methodology"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","2017","2017","ha","10614829","Im","FAO data based on imputation methodology"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1961","1961","ha","4744000","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1962","1962","ha","4888860","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1963","1963","ha","4496520","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1964","1964","ha","4987800","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1965","1965","ha","4826300","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1966","1966","ha","4681300","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1967","1967","ha","4795800","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1968","1968","ha","4893800","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1969","1969","ha","4930000","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1970","1970","ha","4724400","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1971","1971","ha","4692100","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1972","1972","ha","4900000","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1973","1973","ha","5030000","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1974","1974","ha","5111920","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1975","1975","ha","4855900","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1976","1976","ha","5297300","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1977","1977","ha","5468700","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1978","1978","ha","5462500","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1979","1979","ha","5485200","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1980","1980","ha","5600200","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1981","1981","ha","5651900","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1982","1982","ha","5711700","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1983","1983","ha","5611700","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1984","1984","ha","5675000","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1985","1985","ha","5718300","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1986","1986","ha","5703100","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1987","1987","ha","5603100","","Official data"
